date,closing_price,symbol,type
2020-06-04,2812.5,USD/MNT,forex
2020-06-03,2812.0,USD/MNT,forex
2020-06-02,2809.5,USD/MNT,forex
2020-06-01,2813.0,USD/MNT,forex
2020-05-29,2818.5,USD/MNT,forex
2020-05-28,2812.5,USD/MNT,forex
2020-05-27,2811.5,USD/MNT,forex
2020-05-26,2811.5,USD/MNT,forex
2020-05-22,2810.0,USD/MNT,forex
2020-05-21,2802.0,USD/MNT,forex
2020-05-20,2804.5,USD/MNT,forex
2020-05-19,2810.0,USD/MNT,forex
2020-05-18,2805.0,USD/MNT,forex
2020-05-15,2804.0,USD/MNT,forex
2020-05-14,2806.5,USD/MNT,forex
2020-05-13,2804.0,USD/MNT,forex
2020-05-12,2812.0,USD/MNT,forex
2020-05-11,2811.5,USD/MNT,forex
2020-05-08,2806.0,USD/MNT,forex
2020-05-07,2807.0,USD/MNT,forex
2020-05-06,2801.0,USD/MNT,forex
2020-05-05,2804.0,USD/MNT,forex
2020-05-04,2802.0,USD/MNT,forex
2020-05-01,2803.0,USD/MNT,forex
2020-04-30,2799.5,USD/MNT,forex
2020-04-29,2781.0,USD/MNT,forex
2020-04-28,2788.0,USD/MNT,forex
2020-04-27,2788.0,USD/MNT,forex
2020-04-24,2800.5,USD/MNT,forex
2020-04-23,2792.5,USD/MNT,forex
2020-04-22,2778.0,USD/MNT,forex
2020-04-21,2780.5,USD/MNT,forex
2020-04-20,2776.0,USD/MNT,forex
2020-04-17,2778.0,USD/MNT,forex
2020-04-16,2780.5,USD/MNT,forex
2020-04-15,2783.0,USD/MNT,forex
2020-04-14,2772.5,USD/MNT,forex
2020-04-13,2771.0,USD/MNT,forex
2020-04-10,2780.0,USD/MNT,forex
2020-04-09,2787.5,USD/MNT,forex
2020-04-08,2783.5,USD/MNT,forex
2020-04-07,2780.0,USD/MNT,forex
2020-04-06,2775.5,USD/MNT,forex
2020-04-03,2780.5,USD/MNT,forex
2020-04-02,2785.0,USD/MNT,forex
2020-04-01,2777.0,USD/MNT,forex
2020-03-31,2785.0,USD/MNT,forex
2020-03-30,2785.0,USD/MNT,forex
2020-03-27,2774.5,USD/MNT,forex
2020-03-26,2780.0,USD/MNT,forex
2020-03-25,2785.0,USD/MNT,forex
2020-03-24,2779.0,USD/MNT,forex
2020-03-23,2780.0,USD/MNT,forex
2020-03-20,2785.0,USD/MNT,forex
2020-03-19,2769.0,USD/MNT,forex
2020-03-18,2775.5,USD/MNT,forex
2020-03-17,2760.0,USD/MNT,forex
2020-03-16,2750.0,USD/MNT,forex
2020-03-13,2750.0,USD/MNT,forex
2020-03-12,2750.0,USD/MNT,forex
2020-03-11,2750.0,USD/MNT,forex
2020-03-10,2749.0,USD/MNT,forex
2020-03-09,2758.0,USD/MNT,forex
2020-03-06,2758.0,USD/MNT,forex
2020-03-05,2760.0,USD/MNT,forex
2020-03-04,2755.0,USD/MNT,forex
2020-03-03,2751.5,USD/MNT,forex
